molecule_abbrev,molecule_name,algorithm_name,calculated_energy,reference_energy,error,relative_error,n_iterations,n_qubits,n_parameters,runtime_seconds,converged,hf_energy
cys,cysteine,hardware_efficient_vqe,-718.2084137442044,-719.4144095585827,1.2059958143782978,0.001676357601897731,28,8,48,1.4484550952911377,True,-716.7322829176494
cys,cysteine,qaoa_inspired_vqe,-719.0901112068004,-719.4144095585827,0.3242983517823177,0.0004507810067097491,62,8,12,1.6878981590270996,False,-716.7322829176494
cys,cysteine,iqcc_inspired_vqe,-719.4133024340704,-719.4144095585827,0.0011071245123730478,1.5389245720729386e-06,0,8,0,6.7576329708099365,True,-716.7322829176494
cys,cysteine,iqcc_vqe,-719.4133024340704,-719.4144095585827,0.0011071245123730478,1.5389245720729386e-06,0,8,0,6.763882398605347,True,-716.7322829176494
cys,cysteine,cb_vqe,-718.8025399761923,-719.4144095585827,0.6118695823904545,0.0008505106017627373,26,8,48,2.362776756286621,True,-716.7322829176494
cys,cysteine,hva_vqe,-719.4133024338104,-719.4144095585827,0.0011071247723748456,1.5389249334804868e-06,24,8,50,11.88714337348938,True,-716.7322829176494
cys,cysteine,ucc_vqe,-719.4133024340707,-719.4144095585827,0.0011071245120319873,1.5389245715988579e-06,50,8,8,1.3704359531402588,True,-716.7322829176494
cys,cysteine,nn_ae_vqe,-719.4133024340704,-719.4144095585827,0.0011071245123730478,1.5389245720729386e-06,38,8,24,1.3268260955810547,True,-716.7322829176494
gly,glycine,vanilla_vqe,-281.39832786315566,-282.86225556885967,1.463927705704009,0.005175408443095131,28,8,48,1.581432580947876,True,-280.00797061259516
gly,glycine,adapt_vqe,-282.8549235824527,-282.86225556885967,0.007331986406938995,2.59206955420537e-05,0,8,0,4.220365762710571,True,-280.00797061259516
gly,glycine,qubit_adapt_vqe,-282.8549235824527,-282.86225556885967,0.007331986406938995,2.59206955420537e-05,0,8,0,28.608279705047607,True,
gly,glycine,hardware_efficient_vqe,-281.69880483716787,-282.86225556885967,1.1634507316917961,0.0041131353115741775,27,8,48,0.35335421562194824,False,-280.00797061259516
gly,glycine,qaoa_inspired_vqe,-282.5767575082191,-282.86225556885967,0.2854980606405775,0.0010093183343476385,57,8,12,1.8255670070648193,False,-280.00797061259516
gly,glycine,iqcc_inspired_vqe,-282.8549235824527,-282.86225556885967,0.007331986406938995,2.59206955420537e-05,0,8,0,6.90767502784729,True,-280.00797061259516
gly,glycine,iqcc_vqe,-282.8549235824527,-282.86225556885967,0.007331986406938995,2.59206955420537e-05,0,8,0,7.018378734588623,True,-280.00797061259516
gly,glycine,cb_vqe,-281.5488713167358,-282.86225556885967,1.3133842521238535,0.004643193732166661,28,8,48,2.6907248497009277,True,-280.00797061259516
gly,glycine,hva_vqe,-282.8549235823501,-282.86225556885967,0.007331986509541366,2.59206959047828e-05,25,8,48,11.683944702148438,True,-280.00797061259516
gly,glycine,ucc_vqe,-282.8549235824529,-282.86225556885967,0.007331986406768465,2.5920695541450826e-05,52,8,8,1.435014009475708,True,-280.00797061259516
gly,glycine,nn_ae_vqe,-282.8549235824527,-282.86225556885967,0.007331986406938995,2.59206955420537e-05,39,8,24,1.4239659309387207,True,-280.00797061259516
